"building","geometryTitle","constructionTimeStart","municipalicy"
"http://kulturnav.org/84a8e2cd-d544-4b3f-92b1-b4d68c686bfd","Bockara kyrka","1938","Oskarshamn"
"http://kulturnav.org/033e547c-5b3b-4585-aa1d-129ef515f3ef","Bodafors kyrka","1940","Nässjö"
"http://kulturnav.org/fd5cd0c9-4041-407b-b090-2efbea094eb9","Bodals kyrka","1972","Lidingö"
"http://kulturnav.org/35db01fe-6009-43d7-9169-3e3c3236baa4","Bohusläns museum","1982","Uddevalla"
"http://kulturnav.org/292e6c98-63a4-4dff-a22c-2b97ded5f4bc","Bollmoradalens kyrka","1973","Tyresö"
"http://kulturnav.org/509f8eb3-933d-48a1-a7aa-c979c23dff84","Bondeska palatset","1662","Stockholm"
"http://kulturnav.org/924c4da7-82a9-4950-887f-5178849c2acd","Bonniers Konsthall","2006","Stockholm"
"http://kulturnav.org/eb9f5e13-11d1-4efe-9d3e-fa26e05f0a7a","Boo kyrka","1922","Nacka"
"http://kulturnav.org/4e5dbc78-0758-4151-8895-5b791d81aef2","Borstahusens kapell","1869","Landskrona"
"http://kulturnav.org/6924fc7b-668b-4fdd-b653-63ec73f89aee","Borås resecentrum","2004","Borås"
"http://kulturnav.org/7f18db77-6688-4b4d-9551-25c7602555df","Bosebo kyrka","1961","Gislaved"
"http://kulturnav.org/2e207ba7-5acb-45de-9292-fb003858475d","Botulfshuset","1931","Lund"
"http://kulturnav.org/e1fdda86-91b8-4d7e-b5a9-45f2bbcd7aa6","Brandkontoret","1678","Stockholm"
"http://kulturnav.org/78b28dee-dfd1-4ddc-bf1c-47325a2ffb16","Bredgatan 4, Fyravåningshus","1903","Lund"
"http://kulturnav.org/1032e444-729d-4975-bf2d-bd407b206282","Bredängs tunnelbanestation","1965","Stockholm"
"http://kulturnav.org/5523c9da-23a5-48e1-b4b8-8595c7e32c75","Bredåkra kyrka","1937","Ronneby"
"http://kulturnav.org/51e967fc-8bcd-4b6a-a8b4-4536dc577854","Breviks kyrka","1936","Lidingö"
"http://kulturnav.org/5bc26831-3219-4c71-99a8-fdb9ff53ab11","Bromma kyrka","1100","Stockholm"
"http://kulturnav.org/2816fdae-d81a-4a36-b59d-aeb41cd1d274","Broströmska stiftelsen","1925","Göteborg"
"http://kulturnav.org/7e08e999-1978-489b-8e8a-41702d46650e","Brunkhalsen 5","1897","Stockholm"
"http://kulturnav.org/a7bb26f1-4b06-4e64-83f9-761c3cac0600","Brunnsbokyrkan","1972","Göteborg"
"http://kulturnav.org/a18a1587-e7ff-4544-8eff-9382b9a778f3","Bruno Liljefors jaktstuga","1908","Värmdö"
"http://kulturnav.org/35d1e565-c7dd-428c-bb44-3c8bad1b916d","Brädgården 7, Fyravåningshus","1901","Lund"
"http://kulturnav.org/c95c0144-984b-46a4-b370-3c74686f0ef5","Brännö kyrka","1954","Göteborg"
"http://kulturnav.org/83e30147-69e3-4b9d-a653-96db99b5f70f","Bråbygdens häradsrätts tingshus","1902","Norrköping"
"http://kulturnav.org/b6baa2e0-ec5a-451f-aa16-7a6ac4e557a4","Bua kyrka","1971","Varberg"
"http://kulturnav.org/a35051b6-0986-41a8-a2de-6df2b2bfe887","Bulltofta flygplats","1957","Malmö"
"http://kulturnav.org/2f1a4b09-51f5-4e46-aa61-160db4e2bdc6","Bulltoftaparken","1983","Malmö"
"http://kulturnav.org/7bf651d4-1f3c-4c80-855e-ae0b02c58aa2","Bulten 19, Flerbostadshus- kontor","1965","Stockholm"
"http://kulturnav.org/7be1c298-39f3-47cf-9e9b-21420c02150a","Bunkeflo kyrka","1896","Malmö"
"http://kulturnav.org/c700ffda-7336-434e-ac51-1fea3a11c86f","Buråskyrkan","1971","Göteborg"
"http://kulturnav.org/8974212c-f068-4795-9a91-a8a6a80db4ff","Buråsskolan","1927","Göteborg"
"http://kulturnav.org/3b80005c-474c-4fad-99ce-549ce41bdf72","Bytarebacken 16, Flerbostadshus- kontors- och butikshus","1965","Lund"
"http://kulturnav.org/6acd3fb0-cee6-44ae-8ea5-b5d01fcdee38","Bäve kyrka","1973","Uddevalla"
"http://kulturnav.org/6dc0a1b6-b261-4a33-a489-46f506dfecca","Börshuset","1773","Stockholm"
"http://kulturnav.org/6b1dcdd9-04b2-4de9-831e-874676fc7e7f","Bååtska palatset","1600","Stockholm"
"http://kulturnav.org/d74d0797-efb3-4f38-98d8-d74ead2b81d6","Carl Eldhs Ateljémuseum, Carl Eldhs ateljé","1918","Stockholm"
"http://kulturnav.org/95f904c1-3b17-4690-811b-23a1ad8672fb","Carl Johans kyrka","1826","Göteborg"
"http://kulturnav.org/79e9c26b-372e-4930-a60e-9680a2a99ec4","Carlanderska sjukhemmet","1925","Göteborg"
"http://kulturnav.org/70afcb9f-b432-4442-bb21-56a00280a055","Caroli City","1967","Malmö"
"http://kulturnav.org/fbd9d3a9-390b-4bd2-b23b-ca9373b13dab","Carolina Rediviva","1813","Uppsala"
"http://kulturnav.org/ad819500-bd09-4fbe-a0eb-33636b2a534f","Ceciliakyrkan","1881","Jönköping"
"http://kulturnav.org/4b6abb30-c17a-40de-b1e9-33884ce6193c","Cedergrenska tornet","1900","Danderyd"
"http://kulturnav.org/deb7d3fa-7823-4d52-aefd-a82fcd826432","Centralbadet","1902","Stockholm"
"http://kulturnav.org/a8f400ed-526f-4bd0-bbf2-92640c70b91d","Centralpalatset, Gävle","1891","Gävle"
"http://kulturnav.org/16f7c7ef-8a58-4c52-a95e-85023e61b12d","Centralpalatset, Lidingö","1911","Lidingö"
"http://kulturnav.org/0bb8d1bc-35ba-4952-a56f-80635ac9e3e9","Centralpalatset, Stockholm","1890","Stockholm"
"http://kulturnav.org/e0b0a582-013c-4be3-9bdc-6dfee342dbac","Centralpalatset, Örebro","1911","Örebro"
"http://kulturnav.org/e9d4b95f-20d6-4682-a804-d626a0f4e18d","Centralposthuset, Stockholm","1898","Stockholm"
"http://kulturnav.org/a212e742-0961-4ab0-bb62-4ad4a83b8160","Centralposthuset, Malmö","1899","Malmö"
"http://kulturnav.org/59a946d8-3707-41bf-bbc8-964a016caac1","Centrumhuset, Stockholm","1929","Stockholm"
"http://kulturnav.org/ab0f2d1a-d7df-4e6d-8e69-bcdd387afc8a","Chinateatern","1928","Stockholm"
"http://kulturnav.org/fbbeb9aa-62d5-4a5b-8fa8-92e0245adefe","Christian Erikssons bostad och ateljé","1906","Stockholm"
"http://kulturnav.org/bd328aaf-67b6-4581-983b-fcdeb75aa681","Cirkus","1890","Stockholm"
"http://kulturnav.org/a7f02a82-7769-4854-935b-fd46ca2ab913","Citypalatset","1930","Stockholm"
"http://kulturnav.org/27909bbe-8e46-49f8-aa87-f7fde7c75130","Clarion Hotel Sign","2006","Stockholm"
"http://kulturnav.org/e6eec63d-a5e8-4a17-a631-c1f94602ad4b","Clarion Hotel Stockholm","2000","Stockholm"
"http://kulturnav.org/0f9a193d-4d19-474b-9bf3-7b59ae55fb89","Coldinuorden 3, Flerbostadshus","1964","Stockholm"
